TIME,AMPLITUDE
0,0
2,0
4,4.59373E-06
6,2.74541E-05
8,6.36968E-05
10,0.000124174
12,0.000214679
14,0.000340357
16,0.000505719
18,0.000714421
20,0.000969084
22,0.001271471
24,0.001622042
26,0.002020424
28,0.002464532
30,0.002951243
32,0.003447551
34,0.00400449
36,0.004587218
38,0.005187417
40,0.005795737
42,0.006401584
44,0.006993397
46,0.007558638
48,0.008084164
50,0.008555889
52,0.008986875
54,0.009306036
56,0.009552714
58,0.009683599
60,0.009683684
62,0.00953955
64,0.009255213
66,0.008796961
68,0.008136395
70,0.007310622
72,0.006264176
74,0.00501581
76,0.003547676
78,0.001860516
80,-4.96471E-05
82,-0.002181277
84,-0.004524729
86,-0.007082621
88,-0.009843662
90,-0.012785738
92,-0.015891306
94,-0.019153436
96,-0.022532632
98,-0.026016352
100,-0.029579271
102,-0.033165322
104,-0.036732144
106,-0.040293733
108,-0.043754435
110,-0.047069271
112,-0.050248919
114,-0.05318663
116,-0.055830903
118,-0.058193096
120,-0.060161487
122,-0.061717096
124,-0.062810085
126,-0.063365645
128,-0.063394586
130,-0.062797468
132,-0.061563334
134,-0.059661558
136,-0.057058116
138,-0.053728042
140,-0.049659381
142,-0.044834837
144,-0.039245035
146,-0.032906786
148,-0.025842523
150,-0.018047721
152,-0.009571337
154,-0.000443999
156,0.009281817
158,0.019538799
160,0.030268501
162,0.041381679
164,0.05282565
166,0.064448376
168,0.076188491
170,0.087932946
172,0.09955826
174,0.110916092
176,0.121914158
178,0.132433704
180,0.142281036
182,0.151357976
184,0.159543145
186,0.166688788
188,0.17265744
190,0.177326756
192,0.180577357
194,0.182302044
196,0.182428806
198,0.180816724
200,0.177443482
202,0.17221872
204,0.165097616
206,0.15608947
208,0.145129131
210,0.13225251
212,0.117527105
214,0.100957775
216,0.082671166
218,0.062731045
220,0.041258324
222,0.018394134
224,-0.00566386
226,-0.030758572
228,-0.056683912
230,-0.083180171
232,-0.110046663
234,-0.136995214
236,-0.163764652
238,-0.190086103
240,-0.215670436
242,-0.240203299
244,-0.263410531
246,-0.28495379
248,-0.304625531
250,-0.322029393
252,-0.336983501
254,-0.349183933
256,-0.358419273
258,-0.364439779
260,-0.367087288
262,-0.366167565
264,-0.361589328
266,-0.353202685
268,-0.340995742
270,-0.324924135
272,-0.305023641
274,-0.281358739
276,-0.253993929
278,-0.223155718
280,-0.188977048
282,-0.151767796
284,-0.11175981
286,-0.069277933
288,-0.024686748
290,0.021565246
292,0.069086934
294,0.11736243
296,0.165993833
298,0.214366701
300,0.261964976
302,0.308296945
304,0.352800389
306,0.39492797
308,0.434134841
310,0.469940286
312,0.501768777
314,0.52924857
316,0.551861397
318,0.569260522
320,0.581074529
322,0.586985974
324,0.58681417
326,0.580364619
328,0.567491659
330,0.54821003
332,0.52253367
334,0.490566532
336,0.452444898
338,0.408543947
340,0.359098459
342,0.304612703
344,0.245453454
346,0.182324326
348,0.115680228
350,0.046307362
352,-0.025133581
354,-0.097875304
356,-0.171043636
358,-0.243888407
360,-0.31548262
362,-0.385030278
364,-0.451709092
366,-0.514623426
368,-0.572965982
370,-0.625941262
372,-0.672819874
374,-0.712994244
376,-0.745703859
378,-0.770542026
380,-0.786982679
382,-0.794643166
384,-0.793309899
386,-0.782800428
388,-0.763020824
390,-0.734086428
392,-0.696141523
394,-0.649463649
396,-0.594422221
398,-0.531608949
400,-0.461566488
402,-0.385087662
404,-0.302857338
406,-0.21599189
408,-0.125244359
410,-0.031811405
412,0.063281481
414,0.158895862
416,0.25377834
418,0.346818711
420,0.436780449
422,0.522556708
424,0.603049412
426,0.677137579
